,atom1,atom2,atom3,k_smirnoff,theta_eq_smirnoff,k_bgbg_tip3p,theta_eq_bgbg_tip3p
0,O1,C1,C2,50.0,109.49999994649772,67.78,108.42004669535831
324,O1,C1,O5,50.0,109.49999994649772,71.72,110.24004713159137
972,C1,C2,O2,50.0,109.49999994649772,67.72,109.4300469563324
1296,C1,C2,C3,50.0,109.49999994649772,63.21,110.63004747062323
1620,C1,O1,C4,50.0,112.99999972763922,62.39,112.45004847981409
2169,H1,C1,O1,50.0,109.49999994649772,50.84,108.5800463055642
2493,H1,C1,C2,50.0,109.49999994649772,46.02,111.59004799664743
3141,C1,C2,H2,50.0,109.49999994649772,46.36,110.07004711602929
3915,O1,C4,H4,50.0,109.49999994649772,50.84,108.82004686678859
5112,H2,C2,O2,50.0,109.49999994649772,50.97,109.88004686271258
6084,C2,O2,HO2,50.0,112.99999972763922,47.09,108.16004646933708
12276,H61,C6,H62,35.0,109.49999994649772,39.18,109.55004723694461
