,system,bgbg_tip3p_fe,bgbg_tip3p_sem,guest_type,smirnoff_fe,smirnoff_sem,exp_fe,exp_sem,color
0,a-but,-1.0845043041360596,0.19979628088045157,aliphatic_carboxylates,-1.4919931240622102,0.26235410774427637,-1.51,0.04,purple
1,a-cbu,-0.8795845831951454,0.21970686347955798,cyclic_alcohols,-1.3317356774164253,0.18463508144129642,-2.02,0.02,cornflowerblue
2,a-chp,-1.673948877654785,0.24426927479922805,cyclic_alcohols,-2.3840281439812228,0.27445479008815216,-2.51,0.06,cornflowerblue
3,a-coc,-1.85594763950871,0.24805508597628917,cyclic_alcohols,-1.7799336958061467,0.29174834448563386,-3.23,1.14,cornflowerblue
4,a-cpe,-1.5054590716784593,0.2856505101508567,cyclic_alcohols,-1.5945576921157465,0.24629834371093412,-2.13,0.02,cornflowerblue
5,a-ham,-2.66255084505138,0.17199230687256245,aliphatic_ammoniums,-3.7482610332272133,0.41528647181861755,-3.53,0.0,darkorange
6,a-hep,-3.9181500955594175,0.20433748623111903,aliphatic_carboxylates,-3.938872310692071,0.1987820123191119,-3.99,0.01,purple
7,a-hex,-2.9183429200137376,0.21147656318044625,aliphatic_carboxylates,-2.6960303673325887,0.2188613019167613,-3.38,0.01,purple
8,a-hp6,-3.3695679506830616,0.17551684713025864,aliphatic_carboxylates,-3.305536709690225,0.22123693828641064,-3.6,0.0,purple
9,a-hpa,-3.543915808202197,0.1764220175351426,aliphatic_ammoniums,-4.057761486277647,0.6800911550487582,-4.14,0.0,darkorange
10,a-hx2,-2.6023749705940826,0.1882819573511198,aliphatic_carboxylates,-2.735190394019231,0.20291734320369184,-3.34,0.01,purple
11,a-hx3,-1.6860590157762907,0.20908034756778368,aliphatic_carboxylates,-2.43234708646725,0.2373992419703631,-3.01,0.01,purple
12,a-mba,-0.9030070765896638,0.24828103369007776,aliphatic_ammoniums,-1.2344278291070603,0.2996641263414989,-1.76,0.02,darkorange
13,a-mha,-2.8839113324715315,0.17868402957021873,aliphatic_ammoniums,-3.621435371542103,0.28490365422259095,-3.6,0.0,darkorange
14,a-mhp,-3.813557617502369,0.18873601289747427,aliphatic_ammoniums,-3.9708748030822107,0.29716417327204037,-4.17,0.0,darkorange
15,a-nmb,-0.820763325791896,0.18282728391860112,aliphatic_ammoniums,-1.9433466179404262,0.4147098723904422,-1.69,0.02,darkorange
16,a-nmh,-2.906114644269861,0.18124253706801083,aliphatic_ammoniums,-4.194318055010031,0.6027247640481048,-3.52,0.01,darkorange
17,a-oam,-4.321146665698272,0.17677501637425394,aliphatic_ammoniums,-4.6776957104983135,0.5126947601436808,-4.61,0.01,darkorange
18,a-oct,-4.845993710955419,0.23541052983480698,aliphatic_carboxylates,-4.633095709671383,0.2996256856611127,-4.62,0.02,purple
19,a-pam,-1.5252867675404995,0.1787268757168793,aliphatic_ammoniums,-2.683619314823972,0.7712170641798995,-2.72,0.0,darkorange
20,a-pnt,-1.7414136882269111,0.1950637305649982,aliphatic_carboxylates,-2.561947791192141,0.21683198276843968,-2.6,0.01,purple
21,b-ben,-1.8217760219375063,0.30667909530346327,aliphatic_carboxylates,-1.9807525543411437,0.22613487325311943,-1.64,0.02,purple
22,b-cbu,-1.6475034576130427,0.35040932368958144,cyclic_alcohols,-1.8795282266124844,0.20863714687081572,-1.55,0.17,cornflowerblue
23,b-chp,-3.2743363862254347,0.25376450163352043,cyclic_alcohols,-3.313825939042367,0.20649984242517894,-4.56,0.01,cornflowerblue
24,b-coc,-3.7188642597920962,0.27147361867816655,cyclic_alcohols,-3.7666599780818193,0.27491866237528884,-4.97,0.04,cornflowerblue
25,b-cpe,-2.415224603117837,0.2922956671673734,cyclic_alcohols,-2.350770110078007,0.1902399443670732,-3.05,0.01,cornflowerblue
26,b-ham,-1.6537948802571372,0.28312065743771464,aliphatic_ammoniums,-2.351827076002134,0.22739208972929253,-2.49,0.08,darkorange
27,b-hep,-3.391883627651899,0.3321741871964334,aliphatic_carboxylates,-3.4761639644272093,0.25334116547443775,-3.39,0.18,purple
28,b-hex,-2.459114212434489,0.2739283680992117,aliphatic_carboxylates,-2.9278042724295537,0.23911198592889074,-2.28,0.03,purple
29,b-m4c,-2.8278474686211674,0.26436756358241303,cyclic_alcohols,-3.242422958004364,0.19575360611259324,-4.32,0.01,cornflowerblue
30,b-m4t,-3.491588367232528,0.25405540758280604,cyclic_alcohols,-3.813143503548609,0.18853838982442642,-4.54,0.01,cornflowerblue
31,b-mch,-2.89123849252689,0.27522572509460747,cyclic_alcohols,-3.6858142014032462,0.2297780790882996,-4.18,0.01,cornflowerblue
32,b-mha,-1.6615839434534094,0.2677572046851887,aliphatic_ammoniums,-2.717825462784133,0.23728700149158793,-2.56,0.07,darkorange
33,b-mo3,-2.8315319613903194,0.38876772308962987,aliphatic_carboxylates,-2.903758224616128,0.3743943782823876,-2.16,0.01,purple
34,b-mo4,-3.1092278774328217,0.3029555211145528,aliphatic_carboxylates,-4.178550145541101,0.4072163166254536,-2.51,0.01,purple
35,b-mp3,-2.20677533434094,0.30758209001455705,aliphatic_carboxylates,-2.9494867231548243,0.3015070602224387,-1.46,0.04,purple
36,b-mp4,-2.786909703000321,0.3301607195337018,aliphatic_carboxylates,-2.88810155031484,0.33586657436569645,-2.19,0.01,purple
37,b-oam,-2.7538101929605583,0.2640253958218215,aliphatic_ammoniums,-3.555953864120015,0.22824181412970362,-3.59,0.12,darkorange
38,b-pb3,-2.8171678556153346,0.2945590901317093,aliphatic_carboxylates,-3.2794373957423595,0.39636307348484884,-3.52,0.01,purple
39,b-pb4,-3.3459481327389584,0.34480653797540334,aliphatic_carboxylates,-3.673863939168057,0.30380022900808384,-3.6,0.02,purple
40,b-pha,-2.327547739465612,0.3342740544603294,aliphatic_carboxylates,-2.9974217501006546,0.4066208934745315,-1.7,0.05,purple
41,b-pnt,-1.7159521920426293,0.2890167880243101,aliphatic_carboxylates,-2.07775924563194,0.2458706192144887,-1.27,0.32,purple
